Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.58,,-83.28,-77.388447,38.7819267,-112.08185224261574,275.76077305045135,857.7360568527449,0.4055684278670159,0.0424590461906914,0.0279660684922336,0.0011874125938837,1.9205407165024797,2.049535299402096,-83.28,-112.08185224261574,34.58435667941371,0.0,0.0,123.76385074955104,159.6526675447,208.1217178512055,0.0,0.085275353704015,0.0,0.0023848163823859
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.58,,-173.76,-77.388447,38.7819267,-112.08185224261574,275.76077305045135,857.7360568527449,0.4055684278670159,0.0424590461906914,0.0279660684922336,0.0011874125938837,2.239949807908753,2.049535299402096,-173.76,-112.08185224261574,35.49617159149646,0.0,0.0,123.76385074955104,159.6526675447,208.1217178512055,0.0,0.085275353704015,0.0,0.0023848163823859
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.58,,-6.67,-77.1803039,40.1046605,-78.85731315212944,243.5207178824648,847.2573067295385,0.6812009706106826,0.0409678333253533,0.0469723767731766,0.0019243565025391,0.8241258339165489,1.8968419755893111,-6.67,-78.85731315212944,1082.2685630004412,0.0,0.0,24.82175246721426,158.75057567917435,210.4207792929132,0.0,0.0882568715399125,0.0,0.0041456350227946
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.58,,-8.08,-77.1803039,40.1046605,-78.85731315212944,243.5207178824648,847.2573067295385,0.6812009706106826,0.0409678333253533,0.0469723767731766,0.0019243565025391,0.9074113607745862,1.8968419755893111,-8.08,-78.85731315212944,875.956845942196,0.0,0.0,24.82175246721426,158.75057567917435,210.4207792929132,0.0,0.0882568715399125,0.0,0.0041456350227946
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.58,,-9.91,-77.1803039,40.1046605,-78.85731315212944,243.5207178824648,847.2573067295385,0.6812009706106826,0.0409678333253533,0.0469723767731766,0.0019243565025391,0.9960736544852753,1.8968419755893111,-9.91,-78.85731315212944,695.7347442192678,0.0,0.0,24.82175246721426,158.75057567917435,210.4207792929132,0.0,0.0882568715399125,0.0,0.0041456350227946
CM_004-1,-73.19778,42.72306,14.89,6.5,11.49,,-7.22,-73.19778,42.72306,-74.21038938588686,253.1592472477123,851.5524941947464,0.5594807781998267,0.0381371475028652,0.0385791316289416,0.0014712980334653,0.8585371975696391,1.8704647103613001,-7.22,-74.21038938588686,927.844728336383,0.0,0.0,25.68758281613029,174.7571380597737,216.3953496385842,0.0,0.0782926987141067,0.0,0.0030204643292765
CM_004-2,-73.19778,42.72306,14.89,6.5,11.49,,-17.87,-73.19778,42.72306,-74.21038938588686,253.1592472477123,851.5524941947464,0.5594807781998267,0.0381371475028652,0.0385791316289416,0.0014712980334653,1.2521245525056444,1.8704647103613001,-17.87,-74.21038938588686,315.27917955168914,0.0,0.0,25.68758281613029,174.7571380597737,216.3953496385842,0.0,0.0782926987141067,0.0,0.0030204643292765
CM_004-3,-73.19778,42.72306,14.89,6.5,11.49,,-9.84,-73.19778,42.72306,-74.21038938588686,253.1592472477123,851.5524941947464,0.5594807781998267,0.0381371475028652,0.0385791316289416,0.0014712980334653,0.9929950984313415,1.8704647103613001,-9.84,-74.21038938588686,654.1706238403136,0.0,0.0,25.68758281613029,174.7571380597737,216.3953496385842,0.0,0.0782926987141067,0.0,0.0030204643292765
CM_011-1,-73.506215,42.505483,24.95,6.5,8.76,,-93.9,-73.506215,42.505483,-128.58386069507722,237.2647310964108,845.0047638084474,0.478955715480965,0.0566115407348599,0.0330265065610073,0.0018696814215085,1.972665592266111,2.109186461193688,-93.9,-128.58386069507722,36.93701884459767,0.0,0.0,64.52875955018419,140.36953971762094,199.17885769148475,0.0,0.1372811293722051,0.0,0.0045339161199136
CM_011-2,-73.506215,42.505483,24.95,6.5,8.76,,-82.29,-73.506215,42.505483,-128.58386069507722,237.2647310964108,845.0047638084474,0.478955715480965,0.0566115407348599,0.0330265065610073,0.0018696814215085,1.915347062324192,2.109186461193688,-82.29,-128.58386069507722,56.25697009974141,0.0,0.0,64.52875955018419,140.36953971762094,199.17885769148475,0.0,0.1372811293722051,0.0,0.0045339161199136
