Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-215.73097007823125,73.76985884034465,911.922213941825,2.6609966309791813,0.1371859213698898,0.1857752037785321,0.0254857424980369,1.6183619311098782,2.3339124963709326,-41.53,-215.73097007823125,0.0,0.0,78.6062699933622,7.721819300428423,91.59101222680736,0.0,0.0423167046131019,0.0,0.0078613944227349
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-215.73097007823125,73.76985884034465,911.922213941825,2.6609966309791813,0.1371859213698898,0.1857752037785321,0.0254857424980369,1.6796095717797561,2.3339124963709326,-47.82,-215.73097007823125,0.0,0.0,78.6062699933622,7.721819300428423,91.59101222680736,0.0,0.0423167046131019,0.0,0.0078613944227349
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-215.73097007823125,73.76985884034465,911.922213941825,2.6609966309791813,0.1371859213698898,0.1857752037785321,0.0254857424980369,1.6264430253312947,2.3339124963709326,-42.31,-215.73097007823125,0.0,0.0,78.6062699933622,7.721819300428423,91.59101222680736,0.0,0.0423167046131019,0.0,0.0078613944227349
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-173.72610808128192,74.19180820056935,911.9566490556545,0.2832275050708289,0.1377382831322354,0.0197732860153441,0.002723538467636,1.9205407165024797,2.239865090430933,-83.28,-173.72610808128192,0.0,0.0,25.69185619676225,8.49616516491194,91.65728145546908,0.0,0.0419261368210261,0.0,0.0008290174948805
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-173.72610808128192,74.19180820056935,911.9566490556545,0.2832275050708289,0.1377382831322354,0.0197732860153441,0.002723538467636,2.239949807908753,2.239865090430933,-173.76,-173.72610808128192,0.0,0.0,25.69185619676225,8.49616516491194,91.65728145546908,0.0,0.0419261368210261,0.0,0.0008290174948805
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-64.24657606285083,76.97027023223859,912.1878445773484,0.7106307598061733,0.1425520829147349,0.0496120786765918,0.0070723051530778,0.8241258339165489,1.807849987464292,-6.67,-64.24657606285083,0.0,0.0,11.7587687822598,9.222729643410007,91.71696865138198,0.0,0.0423826882294928,0.0,0.002102693262967
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-64.24657606285083,76.97027023223859,912.1878445773484,0.7106307598061733,0.1425520829147349,0.0496120786765918,0.0070723051530778,0.9074113607745862,1.807849987464292,-8.08,-64.24657606285083,0.0,0.0,11.7587687822598,9.222729643410007,91.71696865138198,0.0,0.0423826882294928,0.0,0.002102693262967
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-64.24657606285083,76.97027023223859,912.1878445773484,0.7106307598061733,0.1425520829147349,0.0496120786765918,0.0070723051530778,0.9960736544852753,1.807849987464292,-9.91,-64.24657606285083,0.0,0.0,11.7587687822598,9.222729643410007,91.71696865138198,0.0,0.0423826882294928,0.0,0.002102693262967
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-56.36652152960519,77.22164192757417,912.2089862088276,0.5716643768029468,0.1429632538144597,0.0399102595084517,0.0057057005599077,0.8585371975696391,1.751021234623093,-7.22,-56.36652152960519,0.0,0.0,12.30261962913619,9.285698506716392,91.72446523784052,0.0,0.0423256076088434,0.0,0.0016892259835218
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-56.36652152960519,77.22164192757417,912.2089862088276,0.5716643768029468,0.1429632538144597,0.0399102595084517,0.0057057005599077,1.2521245525056444,1.751021234623093,-17.87,-56.36652152960519,0.0,0.0,12.30261962913619,9.285698506716392,91.72446523784052,0.0,0.0423256076088434,0.0,0.0016892259835218
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-56.36652152960519,77.22164192757417,912.2089862088276,0.5716643768029468,0.1429632538144597,0.0399102595084517,0.0057057005599077,0.9929950984313415,1.751021234623093,-9.84,-56.36652152960519,0.0,0.0,12.30261962913619,9.285698506716392,91.72446523784052,0.0,0.0423256076088434,0.0,0.0016892259835218
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-106.32515802750795,75.88854815918216,912.0973551100466,2.389685993019283,0.1408386271554006,0.1668338836477597,0.0234966551359542,0.06445798922691845,2.026636036863829,-1.16,-106.32515802750795,0.0,0.0,52.19369059063925,8.703566679208148,91.6645693125373,0.0,0.0427547871508474,0.0,0.0071329471849092
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-106.32515802750795,75.88854815918216,912.0973551100466,2.389685993019283,0.1408386271554006,0.1668338836477597,0.0234966551359542,0.25527250510330607,2.026636036863829,-1.8,-106.32515802750795,0.0,0.0,52.19369059063925,8.703566679208148,91.6645693125373,0.0,0.0427547871508474,0.0,0.0071329471849092
